uuid,name,doi,doi_dummy,publication_type,publication_type_group,date_issued,year,license,license_short,license_short_group
ec94f0e8-6592-46bd-8bdb-912b53feb0d7,Financial and operational sustainability of a gravity-fed rural piped water supply system in Malawi,https://doi.org/10.3929/ethz-b-000501722,Has DOI,Journal Article,Scientific Article,2021-11-01,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
e6b5c389-8960-4a69-a826-ee04924db8b8,Evaluation of the waste management system at the Züri Fäscht,https://doi.org/10.3929/ethz-b-000654001,Has DOI,Bachelor Thesis,Student Paper,2023,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
e6a591f5-0a52-4612-b7a4-8b44756a0fe6,"bcsa: Data for source-apportionment of light absorbing carbon in Blantyre, Malawi",,No DOI,Dataset,Dataset,2024-03-26,2024,No license,No license,No license
ddfa6070-6bed-4d26-a0da-4c167226024f,Data Logger for Remote Monitoring of Biogas,,No DOI,Other Research Data,Other publication,2024-07-05,2024,No license,No license,No license
ddb798d6-95ef-4ad7-9b44-72b60324cadd,Plastic separation - A review,https://doi.org/10.3929/ethz-b-000732181,Has DOI,Report,Other publication,2025-04-04,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
5449d41a-8442-4442-8051-7b45432976d7,"Design, Numerical Optimization and Implementation of a Sludge Pasteurization System",https://doi.org/10.3929/ethz-c-000784706,Has DOI,Master Thesis,Student Paper,2025-10-13,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
01911050-b36d-4173-98bd-6af9d5a12b12,Light absorbing carbonaceous aerosols: Concentrations and sources in an under-monitored setting,https://doi.org/10.3929/ethz-b-000743680,Has DOI,Journal Article,Scientific Article,2025-09-01,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
b20d5031-3a19-4466-8174-219b1bdc3f0e,Open waste burning leads to significantly high black carbon exposure amongst burners,https://doi.org/10.3929/ethz-c-000787139,Has DOI,Other Conference Item,Other publication,2025-03-14,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
deab6783-4506-4294-ba62-4bad241bb89f,"Not just a donor learning experience: Exploring failure, accountability, and harm within a large aid funded biogas project in Malawi",https://doi.org/10.3929/ethz-c-000782760,Has DOI,Journal Article,Scientific Article,2025-09,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
dc2315c1-a559-443d-90c8-1f5be8e281b5,Reducing water quality data inequities: A low-cost to a membrane filtration technique for the quantification of Escherichia coli in drinking water in low-resource contexts,https://doi.org/10.3929/ethz-b-000739240,Has DOI,Journal Article,Scientific Article,2025-05-27,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
4d4f6b03-e251-4bac-93a0-72edc188c642,Development of a Remote Communications Infrastructure for an Off-Grid Energy System,https://doi.org/10.3929/ethz-c-000784291,Has DOI,Master Thesis,Student Paper,2025-09-19,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
9e7dd027-07b2-44a5-8a48-f96c42b5ee5d,Design and Construction of a Black Soldierfly Larvae  Counting Machine,https://doi.org/10.3929/ethz-c-000784790,Has DOI,Master Thesis,Student Paper,2025-10-06,2025,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
9a3d6f97-803e-4eec-b854-7126935594f6,Development and testing of new load control schemes for an electrical load cabinet for small health posts,https://doi.org/10.3929/ethz-c-000783149,Has DOI,Master Thesis,Student Paper,2025-08,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
667e314a-52a8-4cbb-b2f6-89b79abb0b6b,"Willingness to pay for and economic feasibility of solid waste management in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-c-000783339,Has DOI,Journal Article,Scientific Article,2025-09,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
ebace69a-169c-4eec-a3a4-57ba5d3e07b6,"Glass Tumbling for Safe Waste Glass Disposal in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-c-000784777,Has DOI,Master Thesis,Student Paper,2025-08-22,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
62db6140-33c8-46ba-acbc-4132ef33fbe8,Development of Pediatric Intravenous Flow Rate Monitor for Humanitarian Settings,https://doi.org/10.3929/ethz-c-000782953,Has DOI,Bachelor Thesis,Student Paper,2025-08-15,2025,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
cf900cc2-df5a-4fde-b41d-57bbb42efd53,Overcoming Barriers to Exclusive Breastfeeding in Lao PDR: Social Transfer Intervention Randomised Controlled Trial,https://doi.org/10.3929/ethz-c-000786827,Has DOI,Journal Article,Scientific Article,2025-08-01,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
b03b54b9-7f1a-4b5b-9174-5ea18cd1c5f9,Land use in the Seychelles – Rethinking the Sustainability of Tourism,https://doi.org/10.3929/ethz-b-000662823,Has DOI,Report,Other publication,2024,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
3d152325-6ab1-400e-9f37-a366d3dab7f8,Land use in the Seychelles – Rethinking the Sustainability of Tourism: Appendix,https://doi.org/10.3929/ethz-b-000663772,Has DOI,Report,Other publication,2024,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
43383fb9-15a5-4129-921d-345ff87a2e09,Andere Wege für das Abwasser,,No DOI,Journal Article,Scientific Article,2023,2023,No license,No license,No license
